Search results:
    simulate-dom-event git://github.com/yiminghe/simulate-dom-event.git
    cobu-eventbus git://github.com/cschuller/cobu-eventbus.git
    level-model git://github.com/jwerle/level-model.git
    pure-sass git://github.com/fourseven/pure-sass.git
    ng-infinite-scroll git://github.com/ash-developer/ng-infinite-scroll.git
    event-trigger git://github.com/fnobi/EventTrigger.git
    eventdispatcher git://github.com/soenkekluth/EventDispatcher.git
    handy git://github.com/stevepeak/handyjs.git
    can.eventstream git://github.com/sykopomp/can.eventstream.git
    puredom git://github.com/developit/puredom.git
    jquery-tree git://github.com/daredevel/jquery-tree.git
    angular-components git://github.com/dgs700/angularjs-web-component-development.git
    tseed-angular-event-manager git://github.com/Tomas-Sereikis/Angular-EventManager.git
    lil-event git://github.com/lil-js/event.git
    angular-tiny-eventemitter git://github.com/rubenv/angular-tiny-eventemitter.git
    class-evented git://github.com/seeden/class-evented.git
    reveal-js git://github.com/judsonbsilva/reveal.js.git
    webaudio-controls git://github.com/WebMusicDevelopersJP/webaudio-controls.git
    everlive-responsive git://github.com/telerik/backend-services-responsive-images-client.git
    GaTrackingFbEvent git://github.com/kashiro/GaTrackingFbEvent
    backbone.marionette.treeview git://github.com/everydo/backbone-treeview.git
    Event.js git://github.com/gfarrell/Event.js
    angular-route-rage git://github.com/isteven/angular-route-rage.git
    transform-to-json git://github.com/stevenrskelton/transform-to-json.git
    angular-evening git://github.com/simplicitylabs/angular-evening.git
    sgb-filedrop git://github.com/Smorgasbord-Development/sgb-filedrop.git
    sgb-markdownview git://github.com/Smorgasbord-Development/sgb-markdownview.git
    angular-jqm-events git://github.com/npacemo/angular-jqm-events.git
    levenshtein-steps git://github.com/pseudonym117/Levenshtein.git
    jquery-screen-events git://github.com/lunsdorf/jquery-screen-events.git
    ng-fast-levenshtein git://github.com/jobrapido/ng-fast-levenshtein.git
    sgb-markdown git://github.com/Smorgasbord-Development/sgb-markdown.git
    infieldLabel git://github.com/ten1seven/infieldLabel.git
    bower-reveal-js git://github.com/judsonbsilva/bower-reveal-js.git
    backbone-nestify git://github.com/revelytix/backbone-nestify.git
    audio-support-level git://github.com/shinnn/audio-support-level.js.git
    ofcanvas git://github.com/stevewirts/ofcanvas.git
    sgb-markdownedit git://github.com/Smorgasbord-Development/sgb-markdownedit.git
    templeton git://github.com/developit/templeton.git
    rectangles git://github.com/stevewirts/rectangles.git
    eventproxy git://github.com/JacksonTian/eventproxy.git
    rotate git://github.com/Themoderndeveloper/rotate.git
    jquery-itneverends git://github.com/osahner/jquery-itneverends.git
    revenge-css git://github.com/Heydon/REVENGE.CSS.git
    quick-event-tracking git://github.com/buildingblocks/Quick-Event-Tracking
    puredom-model git://github.com/developit/puredom-model.git
    puredom-templeton git://github.com/developit/puredom-templeton.git
    picomarkdown git://github.com/developit/picomarkdown.git
    angular-moment-event git://github.com/FireVolkhov/angular-moment-event
    event.js git://github.com/valllabh/event.js.git
    develo-slider git://github.com/develodesign/develo-slider.git
    ngDesignaEvents git://github.com/jmscarpa/ng-designa-events.git
    steal-myth git://github.com/stevenvachon/steal-myth.git
    labelauty git://github.com/fntneves/jquery-labelauty.git
    larsthorup-jsdevenv-bower git://github.com/larsthorup/jsdevenv-bower-release.git
    d3.chart.eventbind git://github.com/peteb4ker/d3.chart.eventbind.git
    event-emitter.js git://github.com/jaridmargolin/event-emitter.js.git
    ybTestBootstrap git://github.com/likeclever1/bootstrap.git
    jquery-labelauty git://github.com/fntneves/jquery-labelauty.git
    jquery-event-playback git://github.com/hmert/jquery-event-playback.git
    clever-core-list git://github.com/rsamec/clever-core-list.git
    clever-paper-input git://github.com/rsamec/clever-paper-input.git
    clever-rule-service git://github.com/rsamec/clever-rule-service.git
    densityjs git://github.com/SevoDevelopment/DensityJS.git
    multilevelpushmenu-touhonoob git://github.com/touhonoob/multi-level-push-menu.git
    evemit git://github.com/wh1100717/evemit.git
    eventric git://github.com/efacilitation/eventric.git
    jquery.tilttoreveal git://github.com/martinkr/jQuery.tiltToReveal.git
    EventStation git://github.com/tunderdomb/EventStation.git
    ng-alert git://github.com/evenchange4/angular-alert.git
    dcframework git://github.com/michaeldeboeve/DCFramework.git
    yBootstrap git://github.com/likeclever1/bootstrap.git
    eventsjs git://github.com/mparke/eventsjs.git
    ybBootstrap git://github.com/likeclever1/bootstrap
    backbone.mariontte.treeview git://github.com/everydo/backbone-treeview.git
    puredom.Model git://github.com/developit/puredom.Model.git
    angular-gettext-sg git://github.com/AngularJS-SPA-Development/angular-gettext-sg.git
    eventstack git://github.com/javascript/eventstack.git
    everything git://github.com/gdi2290/bower-everything.git
    minecraft-canvas git://github.com/SevereOverfl0w/minecraft-canvas.git
    reactbone git://github.com/Everyplay/reactbone.git
    GaTrackingAtagEvent git://github.com/kashiro/GaTrackingAtagEvent.git
    propcom-basicEventInc git://github.com/JamesHooker94/fe-basic-event.git
    responsive-modal git://github.com/stevezhu/responsive-modal.git
    heading-level git://github.com/shinnn/heading-level.js.git
    wok git://github.com/coffeedeveloper/wok.git
    ip-subnet-calculator git://github.com/franksrevenge/IPSubnetCalculator.git
